CUSTOMERID,FREQUENCY,MONETARY,RECENCYDAYS,AVERAGEORDERVALUE
13408,62,28117.04,1,453.5
14901,9,1421.29,11,157.92
15545,2,292.72,54,146.36
16722,13,4730.81,17,363.91
15838,19,33643.08,11,1770.69
15589,3,478.53,255,159.51
16951,3,1277.75,134,425.92
17530,10,2385,1,238.5
14371,1,100.5,295,100.5
17419,12,4226.57,11,352.21
17034,3,745.52,16,248.51
15606,9,2920.16,61,324.46
15671,7,2657.13,18,379.59
18191,1,207.8,261,207.8
14056,23,8214.65,1,357.16
13652,3,1095.08,45,365.03
17735,19,13110.02,2,690
16607,14,3347.71,17,239.12
17120,1,307.46,233,307.46
17718,1,139.35,232,139.35
14959,4,695.42,64,173.86
12700,4,4939.99,7,1235
13013,13,4810.94,1,370.07
12993,4,414.76,23,103.69
12942,3,683.9,131,227.97
14453,1,119.93,190,119.93
13266,12,3834.26,11,319.52
14367,16,9261.52,8,578.85
15584,4,725.11,23,181.28
13183,9,3957.78,7,439.75
17315,38,6292.26,1,165.59
18144,12,2888.75,7,240.73
14857,2,1173.12,59,586.56
15114,10,2760.56,30,276.06
13340,7,10736.48,45,1533.78
12569,32,4124.69,2,128.9
17306,19,8631.31,10,454.28
18262,1,149.48,140,149.48
13110,7,1488.67,31,212.67
17160,6,3518.03,31,586.34
14291,11,3883.25,1,353.02
17320,3,1200.62,100,400.21
12436,1,509.01,99,509.01
16629,2,417.73,73,208.87
13831,6,2202.99,16,367.17
15343,1,364.5,87,364.5
15860,8,977.21,40,122.15
13165,2,1021.48,46,510.74
13599,21,5153.67,1,245.41
16070,2,852.15,22,426.08
13026,5,975.36,1,195.07
16945,19,4345.5,21,228.71
16361,4,896.66,9,224.17
12779,8,3981.36,37,497.67
17897,3,566.6,172,188.87
15361,1,418.92,361,418.92
15562,1,134.55,351,134.55
12539,4,5568.35,22,1392.09
17126,5,1004.75,152,200.95
17800,9,1199.01,37,133.22
17486,1,396.87,261,396.87
16398,2,1705.8,154,852.9
16172,5,1140.21,95,228.04
17819,7,3704.87,71,529.27
16188,4,981.86,44,245.47
12451,5,9035.52,10,1807.1
16186,12,4006.94,22,333.91
13118,5,1197.81,19,239.56
16998,4,295,149,73.75
16249,5,1800.07,52,360.01
15863,2,68.84,25,34.42
14871,4,522.38,3,130.6
17939,1,99.14,159,99.14
14159,11,4693.01,19,426.64
15518,8,1942.45,64,242.81
16984,2,4481.35,88,2240.68
15128,4,1471,60,367.75
16686,7,3062.83,47,437.55
16533,3,1095.56,19,365.19
13760,2,286.79,54,143.4
12473,5,3938.55,29,787.71
16440,5,3640.67,7,728.13
16836,2,251.87,39,125.94
12498,3,403.7,21,134.57
15525,3,825.92,2,275.31
16134,2,618.09,21,309.05
15759,3,253.04,218,84.35
17591,7,2225.97,73,318
13149,4,1676.06,14,419.02
16697,1,112.75,241,112.75
17091,9,3827.76,2,425.31
12947,6,1603.99,143,267.33
17463,5,1896.41,16,379.28
12904,2,509.58,18,254.79
14145,4,3742.2,46,935.55
14548,2,652.8,150,326.4
14768,2,192.6,17,96.3
16092,3,817.86,114,272.62
16628,5,2188.05,29,437.61
15523,1,412.01,84,412.01
17340,11,12353.29,29,1123.03
15815,5,2100.6,63,420.12
18042,1,165.05,53,165.05
15969,3,666.1,2,222.03
16173,6,1418.32,15,236.39
17006,4,781.78,4,195.45
16852,2,144.91,10,72.46
15690,2,239.76,4,119.88
15713,2,356.7,143,178.35
17951,3,1008.54,39,336.18
14541,8,1461.65,58,182.71
14465,3,1058.62,246,352.87
13549,7,918.2,25,131.17
12854,3,1324.5,78,441.5
14189,15,4654.08,2,310.27
15791,2,1612.69,43,806.35
14795,1,131.45,166,131.45
13895,4,2593.07,28,648.27
14778,2,730.86,127,365.43
13045,1,305.28,99,305.28
16362,5,734.77,32,146.95
14014,1,505.18,77,505.18
14434,6,1372.8,21,228.8
17453,2,486.72,17,243.36
16206,4,537.06,54,134.27
17734,3,700.63,53,233.54
12684,7,2283.63,7,326.23
12375,2,457.5,10,228.75
17026,2,154.83,185,77.42
15373,12,2415.91,8,201.33
13327,8,3627.77,38,453.47
13313,5,1555.32,22,311.06
16326,14,3110.96,5,222.21
17738,4,1879.05,19,469.76
14962,1,126.7,270,126.7
16948,3,435.02,138,145.01
13637,3,810.5,52,270.17
14920,2,977.77,212,488.89
17133,7,4892.24,15,698.89
17749,2,674.52,178,337.26
15537,1,110.92,163,110.92
18121,2,673.1,149,336.55
14511,5,1314.81,11,262.96
17941,1,304.56,130,304.56
17083,3,1405.78,109,468.59
17527,4,939.37,53,234.84
13350,2,979.12,16,489.56
12364,4,1313.1,7,328.28
13689,1,910,63,910
17205,1,384.08,53,384.08
18179,6,1793.17,9,298.86
15865,3,895.13,40,298.38
13103,1,243.94,39,243.94
14432,6,2255.51,9,375.92
13984,5,920.51,26,184.1
15967,2,418.83,23,209.42
13268,11,3214.69,17,292.24
14893,2,1237.85,9,618.93
16873,6,7123.62,4,1187.27
16949,6,1286.27,3,214.38
16583,1,233.45,373,233.45
17968,1,277.35,373,277.35
18233,1,440,325,440
14916,4,1268.98,70,317.25
14738,7,1314.45,42,187.78
12755,2,3811.95,280,1905.98
13655,2,932.97,114,466.49
14623,5,889.25,32,177.85
14921,2,1316.07,30,658.04
15241,8,1756.44,66,219.56
15663,1,138.14,106,138.14
17628,1,75.75,81,75.75
15244,2,631.57,65,315.79
13573,2,294.4,50,147.2
14295,1,166.2,40,166.2
17523,4,652.74,11,163.19
14597,2,883.15,11,441.58
12791,1,192.6,373,192.6
14081,2,934.52,302,467.26
18212,1,248.42,326,248.42
13718,2,306.55,246,153.28
17508,1,387.31,280,387.31
15442,1,594,248,594
12876,2,2218.02,57,1109.01
14622,1,320.58,184,320.58
13791,2,1516,127,758
17891,1,203.86,162,203.86
12516,2,1312.06,77,656.03
15075,1,773.03,77,773.03
16243,2,409.1,33,204.55
13822,2,632,5,316
16352,2,494.44,17,247.22
15883,2,396.48,2,198.24
16303,3,5360.63,25,1786.88
14765,3,254.11,29,84.7
16152,1,1829.04,268,1829.04
12435,2,7829.89,79,3914.95
13821,2,385.64,144,192.82
14981,1,102.12,246,102.12
13482,1,184.64,232,184.64
14985,2,296.75,198,148.38
15780,3,475.28,183,158.43
13453,2,356.98,165,178.49
15795,1,610.01,149,610.01
17962,1,102.83,142,102.83
15313,1,52,110,52
17373,4,646.92,40,161.73
15127,1,406.53,65,406.53
18216,1,481.75,31,481.75
16368,2,497.43,2,248.72
17561,1,167.62,19,167.62
17560,4,854.95,94,213.74
15047,1,343.62,269,343.62
13341,1,775.85,260,775.85
15384,2,642.41,169,321.21
14567,2,1530.36,56,765.18
12863,1,521.2,52,521.2
17733,2,692.19,38,346.1
17078,2,378.2,36,189.1
15184,2,406.76,29,203.38
16240,2,3718.8,24,1859.4
17397,2,696.41,22,348.21
17247,1,282.19,15,282.19
14270,1,492.65,331,492.65
16247,1,114.56,170,114.56
16485,1,363.65,77,363.65
14908,1,277.8,74,277.8
12718,1,238.25,71,238.25
18045,1,189.4,45,189.4
14860,1,170.32,19,170.32
17359,1,127.86,11,127.86
12478,1,680.99,3,680.99
13859,1,201.16,326,201.16
18204,3,1993.7,71,664.57
15211,2,894.41,60,447.21
16260,1,1035.45,50,1035.45
14618,3,553.44,9,184.48
12551,1,168,357,168
13800,1,558.32,309,558.32
13292,2,578.94,38,289.47
14206,1,328.16,239,328.16
16835,2,180.85,128,90.43
13176,1,492.84,46,492.84
12812,1,229.64,44,229.64
17297,1,131.78,17,131.78
15139,2,178.96,239,89.48
17582,1,175.27,236,175.27
13300,1,371.89,169,371.89
17222,1,354.15,65,354.15
14396,2,487.99,65,244
16445,1,230.51,33,230.51
12659,1,91.68,29,91.68
12508,2,398.27,26,199.14
14881,1,255.4,19,255.4
13258,3,698.58,11,232.86
15554,1,217.2,277,217.2
17694,1,283.12,141,283.12
15149,1,520.8,133,520.8
16302,1,233.22,126,233.22
14806,1,193.39,75,193.39
16982,1,384.06,60,384.06
16753,1,223.92,58,223.92
16793,1,243.84,57,243.84
13369,1,308.28,365,308.28
14549,1,289.24,311,289.24
17701,1,417.95,252,417.95
16796,1,305.62,89,305.62
16181,1,305.54,73,305.54
