CUSTOMERID,RECENCYDAYS,FREQUENCY,MONETARY,R_SCORE,F_SCORE,M_SCORE,RFM_SEGMENT
12346,325,1,77183.6,1,1,4,09_Other Segments
12347,2,7,4310,4,4,4,01_Champions
12348,75,4,1797.24,2,3,4,06_At Risk
12349,18,1,1757.55,3,1,4,05_Big Spenders
12350,310,1,334.4,1,1,2,08_Lost Customers
12352,36,8,2506.04,3,4,4,02_Loyal Customers
12353,204,1,89,1,1,1,08_Lost Customers
12354,232,1,1079.4,1,2,3,09_Other Segments
12355,214,1,459.4,1,1,2,08_Lost Customers
12356,22,3,2811.43,3,3,4,02_Loyal Customers
12357,33,1,6207.67,3,2,4,05_Big Spenders
12358,1,2,1168.06,4,2,3,03_Promising
12359,57,4,6372.58,2,3,4,06_At Risk
12360,52,3,2662.06,2,3,4,06_At Risk
12361,287,1,189.9,1,2,1,08_Lost Customers
12362,3,10,5226.23,4,4,4,01_Champions
12363,109,2,552,2,2,2,07_Needs Attention
12364,7,4,1313.1,4,3,3,02_Loyal Customers
12365,291,2,641.38,1,2,2,08_Lost Customers
12367,4,1,168.9,4,1,1,04_New Customers
12370,51,4,3545.69,2,3,4,06_At Risk
12371,44,2,1887.96,3,3,4,02_Loyal Customers
12372,71,3,1298.04,2,3,3,06_At Risk
12373,311,1,364.6,1,1,2,08_Lost Customers
12374,25,1,742.93,3,1,3,09_Other Segments
12375,10,2,457.5,4,3,2,03_Promising
12377,315,2,1628.12,1,2,3,09_Other Segments
12378,129,1,4008.62,2,2,4,09_Other Segments
12379,81,2,852.24,2,2,3,07_Needs Attention
12380,21,4,2724.81,3,3,4,02_Loyal Customers
12381,4,5,1845.31,4,3,4,02_Loyal Customers
12383,184,5,1850.56,1,4,4,06_At Risk
12384,28,2,585.27,3,2,2,07_Needs Attention
12386,337,2,401.9,1,2,2,08_Lost Customers
12388,15,6,2780.66,4,4,4,01_Champions
12390,79,1,549.84,2,1,2,09_Other Segments
12391,21,1,460.89,3,2,2,07_Needs Attention
12393,72,4,1582.6,2,3,3,06_At Risk
12394,63,2,1272.48,2,3,3,06_At Risk
12395,19,12,3018.63,3,4,4,02_Loyal Customers
12397,35,2,2409.9,3,2,4,05_Big Spenders
12398,45,1,1635.66,3,1,3,09_Other Segments
12399,119,4,1108.65,2,3,3,06_At Risk
12401,303,1,84.3,1,1,1,08_Lost Customers
12402,323,1,225.6,1,2,1,08_Lost Customers
12403,49,1,427.7,3,2,2,07_Needs Attention
12405,148,1,1710.39,1,1,4,09_Other Segments
12406,22,2,3415.3,3,2,4,05_Big Spenders
12407,49,5,1708.12,3,4,4,02_Loyal Customers
12408,32,5,2888.55,3,4,4,02_Loyal Customers
12409,78,3,11072.67,2,3,4,06_At Risk
12410,308,2,693.33,1,2,3,09_Other Segments
12412,74,3,1226.88,2,3,3,06_At Risk
12413,66,3,758.1,2,3,3,06_At Risk
12414,217,3,562.41,1,3,2,09_Other Segments
12415,24,21,124914.53,3,4,4,02_Loyal Customers
12417,3,9,3649.1,4,4,4,01_Champions
12418,112,1,668.58,2,2,2,07_Needs Attention
12420,63,1,600.39,2,2,2,07_Needs Attention
12421,15,4,807.04,4,3,3,02_Loyal Customers
12422,95,3,803.56,2,3,3,06_At Risk
12423,0,8,1859.31,4,4,4,01_Champions
12424,162,2,1760.96,1,2,4,09_Other Segments
12425,78,1,777.2,2,1,3,09_Other Segments
12426,194,1,582.73,1,2,2,08_Lost Customers
12427,21,3,825.8,3,3,3,02_Loyal Customers
12428,25,9,7956.46,3,4,4,02_Loyal Customers
12429,9,4,3750.4,4,3,4,02_Loyal Customers
12430,43,1,256.4,3,1,1,09_Other Segments
12431,35,15,6487.45,3,4,4,02_Loyal Customers
12432,42,5,5059.32,3,4,4,02_Loyal Customers
12433,0,7,13375.87,4,4,4,01_Champions
12434,84,2,806.14,2,2,3,07_Needs Attention
12435,79,2,7829.89,2,3,4,06_At Risk
12436,99,1,509.01,2,1,2,09_Other Segments
12437,1,18,4951.41,4,4,4,01_Champions
12438,14,2,2906.85,4,2,4,05_Big Spenders
12441,366,1,173.55,1,2,1,08_Lost Customers
12442,3,1,172.06,4,1,1,04_New Customers
12444,21,5,5005.46,3,4,4,02_Loyal Customers
12445,22,1,133.4,3,2,1,09_Other Segments
12446,57,1,1002.31,2,1,3,09_Other Segments
12447,243,1,476.49,1,2,2,08_Lost Customers
12448,44,1,449.45,3,2,2,07_Needs Attention
12449,22,4,4067.29,3,3,4,02_Loyal Customers
12450,156,2,197.88,1,2,1,08_Lost Customers
12451,10,5,9035.52,4,3,4,02_Loyal Customers
12452,16,2,430.57,4,2,2,03_Promising
12453,134,1,707.09,2,2,3,07_Needs Attention
12454,56,1,3528.34,2,2,4,09_Other Segments
12455,73,6,2466.86,2,4,4,03_Promising
12456,44,3,3181.04,3,3,4,02_Loyal Customers
12457,66,7,2363.23,2,4,4,03_Promising
12458,71,2,947.4,2,2,3,07_Needs Attention
12461,94,2,826.88,2,2,3,07_Needs Attention
12462,18,2,1189.59,3,3,3,02_Loyal Customers
12463,53,4,1344.78,2,3,3,06_At Risk
12464,10,8,1212.05,4,4,3,02_Loyal Customers
12465,17,2,742.19,4,2,3,03_Promising
12468,187,2,729.54,1,2,3,09_Other Segments
12471,2,30,19824.05,4,4,4,01_Champions
12472,32,7,6572.11,3,4,4,02_Loyal Customers
12473,29,5,3938.55,3,3,4,02_Loyal Customers
12474,17,18,7375.79,4,4,4,01_Champions
12475,53,1,723.38,2,1,3,09_Other Segments
12476,15,11,6816.42,4,4,4,01_Champions
12477,22,6,13219.74,3,4,4,02_Loyal Customers
12478,3,1,680.99,4,1,3,09_Other Segments
12479,11,1,527.2,4,1,2,09_Other Segments
12480,28,4,3281.63,3,3,4,02_Loyal Customers
12481,22,10,5596.32,3,4,4,02_Loyal Customers
12483,17,8,2484.98,3,4,4,02_Loyal Customers
12484,32,6,4541.72,3,4,4,02_Loyal Customers
12488,9,3,1298.66,4,3,3,02_Loyal Customers
12489,336,1,334.93,1,1,2,08_Lost Customers
12490,5,10,5417.93,4,4,4,01_Champions
12491,38,1,460.4,3,1,2,09_Other Segments
12492,63,2,263.21,2,2,1,09_Other Segments
12493,165,2,433.74,1,2,2,08_Lost Customers
12494,15,7,1246.1,4,4,3,02_Loyal Customers
12497,81,1,1043.1,2,1,3,09_Other Segments
12498,21,3,403.7,3,3,2,07_Needs Attention
12500,23,11,4257.82,3,4,4,02_Loyal Customers
12501,336,1,2169.39,1,1,4,09_Other Segments
12502,95,5,3723.87,2,4,4,03_Promising
12504,18,2,482.05,3,2,2,07_Needs Attention
12506,232,1,73.5,1,1,1,08_Lost Customers
12507,134,3,1304.81,2,3,3,06_At Risk
12508,26,2,398.27,3,3,2,07_Needs Attention
12509,284,1,176.5,1,2,1,08_Lost Customers
12510,142,2,982.57,2,2,3,07_Needs Attention
12512,66,2,138.03,2,2,1,09_Other Segments
12513,112,1,612.29,2,1,2,09_Other Segments
12514,267,1,1017.68,1,1,3,09_Other Segments
12515,353,1,383.7,1,1,2,08_Lost Customers
12516,77,2,1312.06,2,3,3,06_At Risk
12517,28,5,2502.84,3,4,4,02_Loyal Customers
12518,0,5,2056.89,4,4,4,01_Champions
12519,63,1,340.84,2,1,2,09_Other Segments
12520,79,5,2634.26,2,4,4,03_Promising
12521,142,1,599.68,1,1,2,08_Lost Customers
12522,39,2,192.72,3,2,1,09_Other Segments
12523,19,11,1789.77,3,4,4,02_Loyal Customers
12524,9,8,4485.72,4,4,4,01_Champions
12526,0,3,1316.66,4,3,3,02_Loyal Customers
12527,81,3,348.71,2,3,2,07_Needs Attention
12528,9,6,1933.48,4,4,4,01_Champions
12530,59,4,1662.28,2,3,4,06_At Risk
12531,14,1,125.22,4,2,1,09_Other Segments
12532,30,1,349.83,3,2,2,07_Needs Attention
12534,130,1,1089.18,2,1,3,09_Other Segments
12535,91,2,716.35,2,2,3,07_Needs Attention
12536,43,3,12601.83,3,3,4,02_Loyal Customers
12538,29,1,363.95,3,1,2,09_Other Segments
12539,22,4,5568.35,3,3,4,02_Loyal Customers
12540,19,17,13400.24,3,4,4,02_Loyal Customers
12541,29,3,981.18,3,3,3,02_Loyal Customers
12544,36,1,372.7,3,2,2,07_Needs Attention
12545,75,2,1000.39,2,2,3,07_Needs Attention
12546,46,2,1161.5,3,2,3,07_Needs Attention
12547,197,2,207.8,1,2,1,08_Lost Customers
12548,166,1,95.2,1,1,1,08_Lost Customers
12550,79,1,964.83,2,1,3,09_Other Segments
12551,357,1,168,1,1,1,08_Lost Customers
12552,38,2,437.82,3,2,2,07_Needs Attention
12553,8,10,3692.28,4,4,4,01_Champions
12556,50,2,603.71,3,2,2,07_Needs Attention
12557,16,5,11990.96,4,4,4,01_Champions
12558,7,1,269.96,4,2,1,09_Other Segments
12559,310,2,561.71,1,2,2,08_Lost Customers
12560,5,3,2134.01,4,3,4,02_Loyal Customers
12561,302,1,238.85,1,1,1,08_Lost Customers
12562,8,7,3781.74,4,4,4,01_Champions
12564,261,1,456.9,1,1,2,08_Lost Customers
12565,288,1,145.92,1,1,1,08_Lost Customers
12566,86,1,351.65,2,1,2,09_Other Segments
12567,22,10,9401.28,3,4,4,02_Loyal Customers
12569,2,32,4124.69,4,4,4,01_Champions
12571,39,2,519.61,3,2,2,07_Needs Attention
12572,8,2,1020.42,4,2,3,03_Promising
12573,227,1,160.54,1,1,1,08_Lost Customers
12574,315,1,218.45,1,2,1,08_Lost Customers
12576,35,5,1315.83,3,4,3,02_Loyal Customers
12577,35,3,657.8,3,3,2,07_Needs Attention
12578,21,2,2794.51,3,2,4,05_Big Spenders
12579,78,1,440.42,2,1,2,09_Other Segments
12580,246,1,415.7,1,1,2,08_Lost Customers
12581,39,1,197.71,3,1,1,09_Other Segments
12582,238,2,511.36,1,2,2,08_Lost Customers
12583,2,15,7281.38,4,4,4,01_Champions
12584,3,9,2338.15,4,4,4,01_Champions
12585,234,2,2040.1,1,2,4,09_Other Segments
12586,17,1,196.94,4,2,1,09_Other Segments
12587,7,1,144,4,1,1,04_New Customers
